"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mean Annual Earnings","Co. Kerry","Transportation and storage (H)",31686,31844,32815,31850,32495,32534,32778,33399,34826,38386,38171,37991,38031,41319
"Mean Annual Earnings","Co. Kerry","Accommodation and food service activities (I)",19547,19489,19170,19580,20121,20648,21079,21769,22493,28935,27026,26316,27144,27742
"Mean Annual Earnings","Co. Kerry","Information and communication (J)",41515,41540,45160,49180,47841,47159,48262,49749,51258,53822,59499,63812,71317,72746
"Mean Annual Earnings","Co. Kerry","Professional, scientific and technical activities (M)",42514,41711,41676,42184,43014,42511,42444,43894,47170,50452,51134,52721,55488,58053
"Mean Annual Earnings","Co. Kerry","Administrative and support service activities (N)",21492,22307,22290,23820,24836,24081,26235,26974,28910,33178,33800,33523,35884,37985
"Mean Annual Earnings","Co. Kerry","Public administration and defence; compulsory social security (O)",43765,43215,43446,43972,43381,43711,44887,45728,46835,48190,49003,51958,54518,57016
"Mean Annual Earnings","Co. Kerry","Education (P)",49437,49452,49075,47970,48844,47187,48629,49596,50252,51392,51594,54185,56055,57521
"Mean Annual Earnings","Co. Kerry","Human health and social work activities (Q)",34386,33498,33397,33412,33998,33162,33947,34968,35442,38001,38616,40729,41996,44500
"Mean Annual Earnings","Co. Kerry","Industry (B to E)",42742,44014,44188,46157,46319,45939,45726,46389,47677,50710,52868,54400,55481,58665
"Mean Annual Earnings","Co. Kerry","Financial, insurance and real estate activities (K,L)",42515,43639,42528,43461,43605,41047,41294,43437,44479,45523,47373,49165,50758,53118
"Mean Annual Earnings","Co. Kerry","Arts, entertainment, recreation and other service activities (R,S)",22391,21537,21350,21130,21864,21042,21753,22171,23240,26127,25998,26097,26511,28116
"Mean Annual Earnings","Co. Longford","All NACE economic sectors",33473,33400,33957,34062,34576,34144,34546,35698,37167,39493,40884,41418,43377,45056
"Mean Annual Earnings","Co. Longford","Construction (F)",31271,32705,33476,33875,33784,33826,35111,34863,37356,42610,45381,42581,45046,48005
"Mean Annual Earnings","Co. Longford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",23013,23040,23792,24358,25286,24624,26118,27167,28025,29798,31042,31774,34023,34857
"Mean Annual Earnings","Co. Longford","Transportation and storage (H)",31345,32965,31398,31353,31042,30326,31037,33115,36192,36814,37067,36627,38140,42473
"Mean Annual Earnings","Co. Longford","Accommodation and food service activities (I)",16513,15740,15156,15538,16216,16585,17305,17181,18625,17441,20216,20101,21847,23446
"Mean Annual Earnings","Co. Longford","Information and communication (J)",43744,44080,44726,47894,49116,48661,49324,53690,55823,64144,64872,68149,74490,76318
"Mean Annual Earnings","Co. Longford","Professional, scientific and technical activities (M)",31591,32941,33748,34923,38819,38654,39056,39115,40521,44346,45418,48478,50834,53404
"Mean Annual Earnings","Co. Longford","Administrative and support service activities (N)",23699,22805,23880,23861,24540,24792,25423,25671,28150,29444,31286,34797,37073,39854
"Mean Annual Earnings","Co. Longford","Public administration and defence; compulsory social security (O)",43248,43406,44018,44636,44835,44418,45277,46156,48361,48859,50174,53532,56316,58729
"Mean Annual Earnings","Co. Longford","Education (P)",46000,46004,45617,44621,45315,44756,45420,47315,48301,49122,49973,51679,52321,53985
"Mean Annual Earnings","Co. Longford","Human health and social work activities (Q)",32023,31894,31959,31713,31926,32929,32630,33728,34731,36422,36246,39304,41387,43235
"Mean Annual Earnings","Co. Longford","Industry (B to E)",37704,37235,37674,38674,38556,37985,38414,39766,41356,43681,44176,45455,47295,48216
"Mean Annual Earnings","Co. Longford","Financial, insurance and real estate activities (K,L)",38723,40446,42444,40518,42868,41182,39999,43730,45282,46774,49192,50427,53715,55779
"Mean Annual Earnings","Co. Longford","Arts, entertainment, recreation and other service activities (R,S)",22332,22362,22098,22136,20526,18984,19941,19955,21389,27070,24990,23583,25096,25373
"Mean Annual Earnings","Co. Louth","All NACE economic sectors",36209,35710,36236,36518,37090,37147,37892,39159,40430,44714,45057,45905,47528,49652
"Mean Annual Earnings","Co. Louth","Construction (F)",33209,33199,34129,34386,33401,34729,36464,37182,40162,44344,44122,43862,46515,48631
"Mean Annual Earnings","Co. Louth","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",26004,26215,25919,27899,28369,29325,30137,30234,31448,33996,34996,35005,36576,38576
"Mean Annual Earnings","Co. Louth","Transportation and storage (H)",39641,38441,39085,39159,39281,40122,39804,41702,43110,44043,43694,47399,47384,49532
"Mean Annual Earnings","Co. Louth","Accommodation and food service activities (I)",17957,17646,17768,18043,18417,18416,18899,19291,19639,25029,24385,22900,23370,24764
"Mean Annual Earnings","Co. Louth","Information and communication (J)",49750,50730,52767,51853,55980,53738,56857,59676,60858,65460,70533,76156,77019,85548
"Mean Annual Earnings","Co. Louth","Professional, scientific and technical activities (M)",41368,41089,40363,37525,39631,40105,41246,41497,42649,46338,49054,52303,54107,57508
"Mean Annual Earnings","Co. Louth","Administrative and support service activities (N)",26884,27691,28621,29184,29530,28780,30570,34101,34448,37013,38061,39141,41258,43027
"Mean Annual Earnings","Co. Louth","Public administration and defence; compulsory social security (O)",46810,46305,46767,47586,46829,47864,49281,49579,51225,52377,53294,56047,59080,61960
"Mean Annual Earnings","Co. Louth","Education (P)",48368,48380,48248,47198,47069,46159,47330,48675,49337,50291,50659,53542,55344,56655
"Mean Annual Earnings","Co. Louth","Human health and social work activities (Q)",36764,34626,36658,36541,37274,36371,36532,37798,38940,42176,41488,43838,46328,47046
"Mean Annual Earnings","Co. Louth","Industry (B to E)",41747,41594,41689,42402,42989,43140,43774,45957,47203,51120,50656,51642,53391,56735
"Mean Annual Earnings","Co. Louth","Financial, insurance and real estate activities (K,L)",45121,44353,44152,43661,43862,44364,44472,45297,47815,50749,53611,54620,55553,60041
"Mean Annual Earnings","Co. Louth","Arts, entertainment, recreation and other service activities (R,S)",23716,23313,23443,23348,22810,22602,24067,24785,25831,32988,34394,28541,29103,31874
"Mean Annual Earnings","Co. Limerick","All NACE economic sectors",38156,38514,38605,38949,39555,39464,40486,41827,43034,47457,48158,49272,51258,54051
"Mean Annual Earnings","Co. Limerick","Construction (F)",36882,36690,38188,38465,38843,38952,39302,39425,41692,47147,47165,44425,46698,50129
"Mean Annual Earnings","Co. Limerick","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",28200,28764,28540,28394,29410,29855,30244,31256,32992,36269,37726,38041,39055,40835
"Mean Annual Earnings","Co. Limerick","Transportation and storage (H)",39458,39297,38464,38509,39375,39593,39452,40118,40858,41766,42315,43604,42468,46575
"Mean Annual Earnings","Co. Limerick","Accommodation and food service activities (I)",19501,18813,18744,19003,18992,19826,20455,21184,22509,27169,26155,26044,26842,28341
"Mean Annual Earnings","Co. Limerick","Information and communication (J)",43183,43470,44727,45372,47972,46700,49293,50866,51780,54140,58767,64174,67062,71055
"Mean Annual Earnings","Co. Limerick","Professional, scientific and technical activities (M)",41355,41234,40349,40744,41392,41366,42735,44725,46852,48750,51021,54656,57844,61584
"Mean Annual Earnings","Co. Limerick","Administrative and support service activities (N)",32728,33668,34388,35031,35123,35514,34612,36571,37999,39945,41150,42147,45003,47645
"Mean Annual Earnings","Co. Limerick","Public administration and defence; compulsory social security (O)",47403,46808,47509,47727,47625,47578,48792,49762,50307,51274,53045,55729,58273,61200
"Mean Annual Earnings","Co. Limerick","Education (P)",49324,49392,49429,48929,48999,47231,48690,50453,51548,53247,52783,55829,57380,59120
"Mean Annual Earnings","Co. Limerick","Human health and social work activities (Q)",36207,36084,35500,34836,35531,35335,36211,37135,38657,42066,41909,44172,46724,50094
